program,url,title,text,text_length
yessenov-launch-pad,https://yessenovfoundation.org/en/about-us/programs/resources/yessenov-launch-pad/ylp-2023/,Yessenov Launch Pad 2023 — Shakhmardan Yessenov Foundation,"Yessenov Launch Pad 2023
Please read the Program Provisions at the bottom of the page carefully!
Shakhmardan Yessenov Foundation announces the opening of a new competition for the provision of 10 (ten) grants for additional training in hard skills and/or soft skills.
If you are:
- A citizen of the Republic of Kazakhstan;
- Enrolled at a university in Kazakhstan or current specialists;
- Specializing in information and communication technologies, natural sciences, maths and statistics and health care;
- You want to upgrade your soft and hard skills.
You have the chance to BECOME A GRANT WINNER and take online/offline training up to 12 months!
To do so submit your application down below, including the following documents before May 18, 2023:
Required documents:
- Scan of the identity card;
- A letter of motivation, in which he should disclose why he needs additional skills and how they will affect his professional and personal life;
- CV.
Additional documents:
- A portfolio demonstrating the candidate’s achievements and/or expressed interests in a particular area of the IT-sphere and provide relevant evidence: – no more than 3 documents;
- Recommendations – no more than 1 document;
- Certificates for academic achievements, successes in research and/or engineering activities, participation in conferences, seminars of different levels – not more than 3 documents*;
- Own, collective publications – no more than 2;
- Diploma if available (last place of study) – no more than 1 document;
- Certificates for social activity and volunteering – no more than 2 certificates*.
*The Foundation is considering a limited number of certificates. The candidate must self-select the certificates that best reflect his/her achievements.
 Provisions
Downloaded: 587, Size: 35.2 KB
 List of the 2nd round participants
Downloaded: 200, Size: 0
 List of the winners
Downloaded: 242, Size: 9.8 KB
Seen by: 1,275",1910
yessenov-scholarship,https://yessenovfoundation.org/en/about-us/programs/science/yessenov-scholarship/%d2%9baz-stipendiya-im-akademika-sh-esenova-2026/,Shakhmardan Yessenov Scholarship 2026 — Shakhmardan Yessenov Foundation,"Shakhmardan Yessenov Scholarship 2026
PLEASE READ CAREFULLY THE PROGRAM PROVISIONS AT THE BOTTOM OF THE PAGE.
Shakhmardan Yessenov Foundation announces a competition for the provision of 20 monthly student scholarships 70,000 tenge each.
Program participants: students, citizens of Kazakhstan over 18, studying at universities of Kazakhstan in 2-3 years of studying of a bachelor’s degree programme, as well as 2-5 year undergraduate courses for medical schools, in natural science, technical, medical and IT specialties.
Number of scholarships: 20
To participate in the Competition for the Shakhmardan Yessenov scholarship, the candidate must:
- Fill in an online application form on the Foundation’s website – yessenovfoundation.org
- Attach to the application form:
Required documents:
- ID scan;
- Essay titled “Is it easy to become a professional in the modern world? What hinders and what contributes to this?” (text in the edited document);
- The transcript of records of the student (GPA no less than 3.0). *Аpplications with the score below 3.0 are not considered;
- A certificate of no criminal record/ criminal record.
Additional documents:
- Science certificates/diplomas – no more than 2 certificates*;
- Social activities and volunteering certificates – no more than three (3) certificates*;
- Publications – no more than two (2) publications*;
- Recommendation letter from the scientific supervisor/head of department – no more than one (1) document.
*The Foundation considers limited number of certificates. A candidate has to independently select certificates, which best reflect his/her achievements.
Applications are accepted on the Foundation’s website yessenovfoundation.org from February 2 through March 3, 2026.
 The deadline for acceptance of applications is March 3, 2026, 3:00 P.M. (GMT+5). Applications received after the deadline will not be considered.
Seen by: 2,313",1896
yessenov-scholarship,https://yessenovfoundation.org/en/about-us/programs/science/yessenov-scholarship/shakhmardan-yessenov-scholarship-2016/,Shakhmardan Yessenov Scholarship 2016 — Shakhmardan Yessenov Foundation,"The Scholarship program 2016
The Scientific and Educational Foundation. Academician Shahmardan Yesenova announces a competition for the provision of five * nominal monthly student scholarships. The term of the grant: 12 months (from April 2016 to March 2017).
The terms of the program:
Who can participate: citizens of the Republic of Kazakhstan who study at Kazakh universities on 2-3 courses of bachelor’s degree or 1 year of magistracy
Number of grants: 5
Required documents:
- application form (available on the website of the fund yessenovfoundation.org);
- recommendation of the scientific adviser (the head of the bachelor’s program / master’s program, the head of the department);
- motivational appeal: “Convince us to invite you to the third stage of the competition” (any form of appeal: audio, video, written);
- A copy of the identity card;
- transcript (the average score should not be lower than 3);
- A copy of the diploma of higher education for students of a master’s degree (bachelor, specialist).
Deadline for submission of documents: until 10.03.2016.
Notes: The competition consists of three rounds. Until mid-April 2016 a list of five holders of nominal scholarships will be published to them. academician Shahmardan Yesenov.
Seen by: 1,282",1263
yessenov-scholarship,https://yessenovfoundation.org/en/about-us/programs/science/yessenov-scholarship/shakhmardan-yessenov-scholarship-2017/,Shakhmardan Yessenov Scholarship 2017 — Shakhmardan Yessenov Foundation,"The Scholarship program 2017
This year, in honor of the 90th birthday of Academician Shahmardan Yesenov, the number of scholarships was increased from 5 to 20.
Seen by: 1,163
This year, in honor of the 90th birthday of Academician Shahmardan Yesenov, the number of scholarships was increased from 5 to 20.
Seen by: 1,163",320
yessenov-scholarship,https://yessenovfoundation.org/en/about-us/programs/science/yessenov-scholarship/shakhmardan-yessenov-scholarship-2018/,Shakhmardan Yessenov Scholarship 2018 — Shakhmardan Yessenov Foundation,"Yessenov Scholarship 2018
The Shakhmardan Yessenov Foundation announces its annual scholarship competition – the best 20 will receive a monthly 25 000 KZT sponsorship.
Seen by: 1,197
The Shakhmardan Yessenov Foundation announces its annual scholarship competition – the best 20 will receive a monthly 25 000 KZT sponsorship.
Seen by: 1,197",339
yessenov-scholarship,https://yessenovfoundation.org/en/about-us/programs/science/yessenov-scholarship/shakhmardan-yessenov-scholarship-2019/,Shakhmardan Yessenov Scholarship 2019 — Shakhmardan Yessenov Foundation,"Yessenov Scholarship 2019
Academic Shakhmardan Yessenov Science and Education Foundation announces a competition for 25 monthly student scholarships. The grant is awarded for 12 months and amounts to 25 000 tenge.
Who can participate: citizens of the Republic of Kazakhstan who study at Kazakhstani universities on 2-3 courses of Bachelor’s degree or 1 year Master’s degree in geology, IT, medical, technical and engineering specialties.
Number of grants: 25
Required documents:
- application form (available on the website of the Foundation yessenovfoundation.org);
- recommendation of a scientific adviser (the head of the bachelor’s program/master’s program, the head of the department);
- Essay: “What have I done and planning to do for the science of Kazakhstan? What are your priorities and why?” (in any form: audio, video, written);
- A copy of the identity card;
- transcript (the average score should not be lower than 3);
- A copy of the diploma of higher education for students of a master’s degree (bachelor, specialist).
Deadline for submission of documents: until 24.02.2019. All applications must be sent to info@yessenovfoundation.org
 Provisions
Downloaded: 618, Size: 51 KB
 Application
Downloaded: 689, Size: 30.7 KB
 2 round list
Downloaded: 569, Size: 16.2 KB
 Winners' List
Downloaded: 853, Size: 189.9 KB
Seen by: 1,349",1343
yessenov-scholarship,https://yessenovfoundation.org/en/about-us/programs/science/yessenov-scholarship/shakhmardan-yessenov-scholarship-2020/,Shakhmardan Yessenov Scholarship 2020 — Shakhmardan Yessenov Foundation,"Shakhmardan Yessenov Scholarship 2020
Shakhmardan Yessenov Foundation announces a competition for the provision of 25 monthly student scholarships 27,000 tenge each.
Program participant: students, citizens of Kazakhstan over 18, studying at universities of Kazakhstan in 2-3 years of studying of a bachelor’s degree programme or in the 1st year of studying of a master’s degree programme, as well as the 1st year of internship in natural science, technical, medical and IT specialties.
Number of scholarships: 25
To participate in the competition for the Shakhmardan Yessenov scholarship, the candidate must:
- Fill in an online application form on the Foundation’s website – yessenovfoundation.org
- Attach the mentioned below mandatory and additional documents to the application form.
Mandatory documents:
- ID scan;
- Essay on the topic “What have I done and will do for the science of Kazakhstan? What is important to you and why? “(an essay can only be submitted in writing);
- The transcript of records of the student (GPA no less than 3.0);
- A copy of the diploma of higher education for students of a master’s degree programme (bachelor, specialist).
Additional documents:
- Certificates/Diplomas in Science – no more than 2 certificates*;
- Certificates in active involvement in public life and volunteering – no more than 3 certificates*;
- Publications – no more than 2 publications*;
*The Foundation considers limited number of certificates. A candidate has to independently select certificates, which best reflect his/her achievements.
Submit your applications before: 20.02.2020.
 *Applications will be accepted till February 20, 2020, 15:00 Nur-Sultan time (GMT+6).
All applications are submitted through the link below (since January 20).
  ProvisionsDownloaded: 639, Size: 407.9 KB
Seen by: 1,320",1815
yessenov-scholarship,https://yessenovfoundation.org/en/about-us/programs/science/yessenov-scholarship/shakhmardan-yessenov-scholarship-2021/,Shakhmardan Yessenov Scholarship 2021 — Shakhmardan Yessenov Foundation,"Shakhmardan Yessenov Scholarship 2021
Shakhmardan Yessenov Foundation announces a competition for the provision of 17 monthly student scholarships 27,000 tenge each.
Program participant: students, citizens of Kazakhstan over 18, studying at universities of Kazakhstan in 2-3 years of studying of a bachelor’s degree programme or in the 1st year of studying of a master’s degree programme, as well as the 1st year of internship in natural science, technical, medical and IT specialties.
Number of grants (scholarships): 17
To participate in the Competition for the Shakhmardan Yessenov scholarship, the candidate must:
- Fill in an online application form on the Foundation’s website – yessenovfoundation.org
- Attach to the application form…
Mandatory documents:
- ID scan;
- Essay on the topic “What have I done and will do for the science of Kazakhstan? What is important to you and why? “(an essay should be submitted in .doc, .docx, or .pdf);
- The transcript of records of the student (GPA no less than 3.0);
- A copy of the diploma of higher education for students of a master’s degree programme (bachelor, specialist).
 
Additional documents:
- Certificates/Diplomas in Science – no more than 2 certificates*;
- Certificates in active involvement in public life and volunteering – no more than 3 certificates*;
- Publications – no more than 2 publications*;
 
*The Foundation considers limited number of certificates. A candidate has to independently select certificates, which best reflect his/her achievements.
Submit your applications before: 26.02.2021.
*Applications will be accepted till February 26, 2021, 15:00 Nur-Sultan time (GMT+6).
All applications are filled in on the Foundation’s website – yessenovfoundation.org
Seen by: 1,420",1749
yessenov-scholarship,https://yessenovfoundation.org/en/about-us/programs/science/yessenov-scholarship/shakhmardan-yessenov-scholarship-2022/,Shakhmardan Yessenov Scholarship 2022 — Shakhmardan Yessenov Foundation,"Shakhmardan Yessenov Scholarship 2022
Shakhmardan Yessenov Foundation announces a competition for the provision of 20 monthly student scholarships 27,000 tenge each.
Program participant: students, citizens of Kazakhstan over 18, studying at universities of Kazakhstan in 2-3 years of studying of a bachelor’s degree programme or in the 1st year of studying of a master’s degree programme, as well as the 1st year of internship in natural science, technical, medical and IT specialties.
Number of grants (scholarships): 20
To participate in the Competition for the Shakhmardan Yessenov scholarship, the candidate must:
- Fill in an online application form on the Foundation’s website – yessenovfoundation.org
- Attach to the application form…
Mandatory documents:
- ID scan;
- “Is it more or less difficult to be professional in the modern world? What are the obstacles and what contribute to them?” (text in the edited document);
- The transcript of records of the student (GPA no less than 3.0);
- Copy of a Diploma of Higher Education for the students of the master’s program and internship students.
Additional documents:
- Certificates/Diplomas in Science – no more than 2 certificates*;
- Certificates in active involvement in public life and volunteering – no more than 3 certificates*;
- Publications – no more than 2 publications*;
- Recommendation of the Scientific adviser/ head of the department – no more than 1 document*
*The Foundation considers limited number of certificates. A candidate has to independently select certificates, which best reflect his/her achievements.
Submit your applications before: 25.02.2022.
*Applications will be accepted till February 25, 2022, 15:00 Nur-Sultan time (GMT+6).
All applications are filled in on the Foundation’s website – yessenovfoundation.org
Seen by: 1,458",1816
yessenov-scholarship,https://yessenovfoundation.org/en/about-us/programs/science/yessenov-scholarship/shakhmardan-yessenov-scholarship-2023/,Shakhmardan Yessenov Scholarship 2023 — Shakhmardan Yessenov Foundation,"Shakhmardan Yessenov Scholarship 2023
PLEASE READ CAREFULLY THE PROGRAM REGULATION AT THE BOTTOM OF THE PAGE.
Shakhmardan Yessenov Foundation announces a competition for the provision of 20 monthly student scholarships 40,000 tenge each.
Program participant: students, citizens of Kazakhstan over 18, studying at universities of Kazakhstan in 2-3 years of studying of a bachelor’s degree programme, as well as 2-5 year undergraduate courses for medical schools, in natural science, technical, medical and IT specialties.
Number of grants (scholarships): 20.
To participate in the Competition for the Shakhmardan Yessenov scholarship, the candidate must:
1. Fill in an online application form on the Foundation’s website – yessenovfoundation.org
2. Attach to the application form:
Mandatory documents:
1. ID scan;
2. “Is it easy to become a professional in the modern world? What prevents and what contributes to this?” (text in the edited document);
3. The transcript of records of the student (GPA no less than 3.0);
Additional documents:
4. Certificates/Diplomas in Science – no more than 2 certificates*;
5. Certificates in active involvement in public life and volunteering – no more than 3 certificates*;
6. Publications – no more than 2 publications*;
7. Recommendation of the Scientific adviser/ head of the department – no more than 1 document*
*The Foundation considers limited number of certificates. A candidate has to independently select certificates, which best reflect his/her achievements.
Submit your applications before: March 2, 2023
*Applications will be accepted till March 2, 2023, 03:00 PM Astana time (GMT+6).
All applications are filled in on the Foundation’s website – yessenovfoundation.org
Seen by: 2,039",1732
yessenov-scholarship,https://yessenovfoundation.org/en/about-us/programs/science/yessenov-scholarship/stipendiya-im-akademika-sh-esenova-2024/,Shakhmardan Yessenov Scholarship 2024 — Shakhmardan Yessenov Foundation,"Shakhmardan Yessenov Scholarship 2024
PLEASE READ CAREFULLY THE PROGRAM REGULATION AT THE BOTTOM OF THE PAGE.
Shakhmardan Yessenov Foundation announces a competition for the provision of 20 monthly student scholarships 70,000 tenge each.
Program participant: students, citizens of Kazakhstan over 18, studying at universities of Kazakhstan in 2-3 years of studying of a bachelor’s degree programme, as well as 2-5 year undergraduate courses for medical schools, in natural science, technical, medical and IT specialties.
Number of grants (scholarships): 20
To participate in the Competition for the Shakhmardan Yessenov scholarship, the candidate must:
- Fill in an online application form on the Foundation’s website – yessenovfoundation.org
- Attach to the application form:
Mandatory documents:
- ID scan;
- Essay titled “Is it easy to become a professional in the modern world? What prevents and what contributes to this?” (text in the edited document);
- The transcript of records of the student (GPA no less than 3.0). *Аpplications with the score below 3.0 are not considered;
- Certificateof Absence of Convictions
Additional documents:
- Certificates/Diplomas in Science – no more than 2 certificates*;
- Certificates in active involvement in public life and volunteering – no more than 3 certificates*;
- Publications – no more than 2 publications*;
- Recommendation of the Scientific adviser/ head of the department – no more than 1 document*
*The Foundation considers limited number of certificates. A candidate has to independently select certificates, which best reflect his/her achievements.
The applications are accepted on the website of the Foundation from February, 01 to March, 05 2024.
Applications will be accepted till March 05, 2024 03:00 PM Astana time.
Seen by: 3,458",1793
